# D-161 mutation-pass results

- source: `/Users/arc.elixir/dev/sw-dev-blueprint@2cd9c7270e0b7340069b35b75886140034466936` (isolated exact-HEAD clone)
- baseline: green
- suite: `python3 -m pytest scripts/selftest/selftest_*.py -q`
- totals: 69 mutants; 45 killed; 23 survived; 1 authoring errors
- enforcement: report-only; survivors are evidence for oracle improvement, never a build gate

| verdict | file | mutation | reason |
| KILLED | `scripts/apply-edit-blocks.py` | `if n == 0:` → `if n > 0:` | missing-anchor fail-closed removed: absent SEARCH blocks pass the pre-check |
| KILLED | `scripts/apply-edit-blocks.py` | `if n > 1:` → `if n < 1:` | ambiguous-anchor fail-closed removed: multi-match SEARCH blocks pass the pre-check |
| KILLED | `scripts/check-prd-additive.py` | `if capsule and capsule not in normalize(staged):` → `if capsule and capsule in normalize(staged):` | capsule guard inverted: staged PRD passing requires the capsule to be removed |
| KILLED | `scripts/check-prd-additive.py` | `removed = sorted(standing_acs.keys() - staged_acs.keys(),` → `removed = sorted(standing_acs.keys() & staged_acs.keys(),` | removal detection inverted: kept ACs flagged removed, actually-removed ACs pass |
| KILLED | `scripts/teardown.sh` | `[ "$DRY" = "1" ] \|\| eval "$@"` → `[ "$DRY" = "0" ] \|\| eval "$@"` | dry-run guard inverted: --dry-run executes, normal runs skip |
| SURVIVED | `scripts/teardown.sh` | `    do_or_say "limactl stop dev-vm"` → `    do_or_say "limactl start dev-vm"` | teardown starts the VM instead of stopping it |
| KILLED | `scripts/link-template.sh` | `[ "$APPROVE" = "$PLAN_SHA" ] \|\| die "approval hash mismatch; preview again"` → `[ "$APPROVE" != "$PLAN_SHA" ] \|\| die "approval hash mismatch; preview again"` | approval hash check inverted: correct hash rejected, mismatched hash accepted |
| SURVIVED | `scripts/link-template.sh` | `case "$path" in ""\|/*\|../*\|*/../*\|*/..\|..) die "unsafe retired path: $path" ;; esac` → `case "$path" in ""\|/*) die "unsafe retired path: $path" ;; esac` | unsafe-path glob narrowed: traversal paths (../..) accepted for retirement |
| KILLED | `scripts/bootstrap.sh` | `git config --global --add safe.directory "$root"` → `git config --global --add safe.directory "$root-never"` | dubious-ownership fix trusts the wrong path: git still refuses the checkout |
| SURVIVED | `scripts/bootstrap.sh` | `if [ -z "$(git config user.name \|\| true)" ] \` → `if [ -n "$(git config user.name \|\| true)" ] \` | identity preflight inverted: dies when identity is set, passes when missing |
| KILLED | `scripts/mutation-pass.sh` | `if [ "$BASE_RC" -ne 0 ]; then` → `if [ "$BASE_RC" -ne 1 ]; then` | red-baseline gate weakened: rc=1 baseline treated as green, pass proceeds |
| SURVIVED | `scripts/mutation-pass.sh` | `(cd "$WORK" && PYTHONDONTWRITEBYTECODE=1 bash -c "$SUITE") > "$PASS_TMP/baseline.log" 2>&1` → `(cd "$WORK" && bash -c "$SUITE") > "$PASS_TMP/baseline.log" 2>&1` | baseline suite loses PYTHONDONTWRITEBYTECODE=1: stale .pyc vacuity returns |
| KILLED | `scripts/check-swallowed-errors.py` | `if len(node.body) == 1 and isinstance(node.body[0], ast.Pass):` → `if len(node.body) == 1 and not isinstance(node.body[0], ast.Pass):` | bare-pass detection inverted: real swallows pass, non-pass handlers flagged |
| KILLED | `scripts/check-swallowed-errors.py` | `if not any("#" in ln for ln in span):` → `if any("#" in ln for ln in span):` | justification-comment check inverted: commented swallows flagged, uncommented ones pass |
| SURVIVED | `scripts/llm-call.sh` | `if not content and reasoning:` → `if content and reasoning:` | thinking-model detection inverted: reasoning-only replies pass, normal replies die |
| SURVIVED | `scripts/llm-call.sh` | `elif served != expect_model:` → `elif served == expect_model:` | seat-mismatch check inverted: correct model fails, wrong model passes |
| KILLED | `scripts/regen-manifest.sh` | `mv "$TMP" "$MANIFEST"` → `rm -f "$TMP"` | regen computes new hashes but discards them: manifest never updated |
| KILLED | `scripts/manifest-drift-guard.sh` | `staged_hash="$(git -C "$ROOT" show :"$path" 2>/dev/null \| sha256_of \|\| true)"` → `staged_hash="$(git -C "$ROOT" show "HEAD:$path" 2>/dev/null \| sha256_of \|\| true)"` | compares HEAD instead of the staged index: staged-only changes pass silently |
| SURVIVED | `scripts/status.sh` | `probe "LM Studio (default)" 1234` → `probe "LM Studio (default)" 1235` | LLM port probe moved off the documented default port |
| KILLED | `scripts/contracts-delta.py` | `if not isinstance(entry_point, str) or not entry_point.startswith("src."):` → `if isinstance(entry_point, str) and entry_point.startswith("src."):` | entry-point validation inverted: valid src. points dropped, foreign points mapped |
| KILLED | `scripts/contracts-delta.py` | `if not pin or pin in files:` → `if not pin or pin not in files:` | slice condition inverted: entries kept when their file is absent, dropped when present |
| SURVIVED | `scripts/tpm-agent.sh` | `if [ "$MODE" = view ]; then` → `if [ "$MODE" != view ]; then` | view-mode branch inverted: --view launches the plain agent, default launches the view agent |
| SURVIVED | `scripts/tpm-agent.sh` | `exec claude --settings scripts/tpm-agent-settings.json \` → `exec claude --settings scripts/tpm-agent-settings-missing.json \` | agent launched with a non-existent settings file |
| KILLED | `scripts/phase-gate.sh` | `[ "$(readlink "$path")" = "$expected_target" ] \|\| {` → `[ "$(readlink "$path")" != "$expected_target" ] \|\| {` | symlink target check inverted: correct targets fail, wrong targets pass |
| KILLED | `scripts/phase-gate.sh` | `if [ -f .placeholder-gate ]; then` → `if [ ! -f .placeholder-gate ]; then` | placeholder-gate trigger inverted: placeholder scan runs when the gate file is absent |
| KILLED | `scripts/contracts-merge.py` | `if eid in standing_by_id and canon(entry) == canon(standing_by_id[eid]):` → `if eid in standing_by_id and canon(entry) != canon(standing_by_id[eid]):` | no-op gate inverted: byte-identical staged entries pass, changed entries die as no-ops |
| KILLED | `scripts/contracts-merge.py` | `if canon(entry) != canon(standing_by_id[eid]):` → `if canon(entry) == canon(standing_by_id[eid]):` | merge-integrity check inverted: altered untouched entries pass, identical ones die |
| SURVIVED | `scripts/feature-summary.py` | `if not d.is_dir() or d.stat().st_mtime < since_epoch:` → `if not d.is_dir() or d.stat().st_mtime > since_epoch:` | archive time window inverted: old EM calls counted, recent ones skipped |
| SURVIVED | `scripts/feature-summary.py` | `elif line.startswith("outcome=") and outcome == "ok":` → `elif line.startswith("outcome=") and outcome != "ok":` | outcome parsing inverted: explicit outcome line only applies when a gate/verdict already set one |
| KILLED | `scripts/metrics-report.py` | `if spec is not None and (not m_spec or int(m_spec.group(1)) != spec):` → `if spec is not None and (not m_spec or int(m_spec.group(1)) == spec):` | spec filter inverted: runs of the requested spec skipped, other specs counted |
| SURVIVED | `scripts/metrics-report.py` | `if outcome not in ("ok", "accepted", "valid"):` → `if outcome in ("ok", "accepted", "valid"):` | waste counting inverted: successful EM calls counted as waste, failures not |
| KILLED | `scripts/check-spec-delta.py` | `if not (repo / rel).is_file() or not (repo / rel).read_bytes() == path.read_bytes():` → `if not (repo / rel).is_file() or not (repo / rel).read_bytes() != path.read_bytes():` | byte comparison inverted: identical staged tests counted changed, real changes invisible |
| KILLED | `scripts/check-spec-delta.py` | `if not re.fullmatch(r"src/.*\.py", entry.get("file", "")):` → `if re.fullmatch(r"src/.*\.py", entry.get("file", "")):` | pin requirement inverted: src-pinned entries pass, unpinned entries flagged |
| SURVIVED | `scripts/update-template.sh` | `[ "$APPROVE" = "$DIFF_SHA" ] \|\| die "approval hash mismatch — expected current DIFF-SHA $DIFF_SHA` → `[ "$APPROVE" != "$DIFF_SHA" ] \|\| die "approval hash mismatch — expected current DIFF-SHA $DIFF_SHA` | approval hash check inverted: correct hash rejected, mismatched hash applies the diff |
| SURVIVED | `scripts/update-template.sh` | `  if [ -z "$CHANGED$REMOVED$MANIFEST_DRIFT" ]; then echo "control plane already matches template@${TARGET:0:12} — nothing to review"; exit 0; fi` → `  if [ -n "$CHANGED$REMOVED$MANIFEST_DRIFT" ]; then echo "control plane already matches template@${TARGET:0:12} — nothing to review"; exit 0; fi` | no-change detection inverted: "nothing to review" reported when changes exist |
| KILLED | `scripts/tpm-pack.sh` | `if re.match(r"^##\s+Coder briefs \(verbatim\)\s*$", line):` → `if re.match(r"^##\s+Coder briefs \(verbatimX\)\s*$", line):` | briefs-section heading never matches: the verbatim coder briefs survive the pack |
| KILLED | `scripts/tpm-pack.sh` | `if re.search(r"\`[^\`]+\`\s+depends on\s+\`[^\`]+\`", line):` → `if re.search(r"\`[^\`]+\`\s+depends on X\s+\`[^\`]+\`", line):` | dependency pattern never matches: DAG depends-on lines survive the pack |
| KILLED | `scripts/refreeze_delta.py` | `if tag == "equal":` → `if tag != "equal":` | opcode classification inverted: equal spans treated as changes, real changes skipped |
| SURVIVED | `scripts/refreeze_delta.py` | `if not (delta["changed_contract_ids"] or changed_tests or inventory_files):` → `if (delta["changed_contract_ids"] or changed_tests or inventory_files):` | D-140 notice condition inverted: behavioral freezes get the no-work notice, nonbehavioral ones stay silent |
| KILLED | `scripts/refreeze.sh` | `if [ -d "$IN" ] && ! git check-ignore -q "$IN"; then` → `if [ -d "$IN" ] && git check-ignore -q "$IN"; then` | gitignore check inverted: dies when the staging dir IS ignored, passes when it is not |
| KILLED | `scripts/refreeze.sh` | `if [ "$AST_COUNT" -eq 0 ]; then` → `if [ "$AST_COUNT" -ne 0 ]; then` | AST suite check inverted: dies when test functions exist, passes on an empty suite |
| KILLED | `scripts/orchestrate.sh` | `    [ "$actual" = "$expected" ] \` → `    [ "$actual" != "$expected" ] \` | installed-plane drift check inverted: matching hashes die, drifted hashes pass |
| KILLED | `scripts/orchestrate.sh` | `[ "$last_v" -le "$FROZEN_V" ] \` → `[ "$last_v" -ge "$FROZEN_V" ] \` | prior-spec version check inverted: newer prior versions pass, older ones die |
| KILLED | `scripts/validate-plan.py` | `    return t_seg == p_seg` → `    return t_seg != p_seg` | exact segment match inverted: identical path segments fail, differing segments match |
| KILLED | `scripts/validate-plan.py` | `    return order if len(order) == len(ids) else None` → `    return order if len(order) != len(ids) else None` | cycle detection inverted: cyclic plans return an order, acyclic plans return None |
